EventName,Date,Time,Location,Participants,Details,DocID
Carnival Headquarters Tent: Check-In & Registration,4/11/24,8:00 AM-7:00 PM ET,"Tent, The Cut",Open to entire CMU community,"Open to the entire Tartan community!  The Carnival Headquarters Tent is #1 on the map - look for the giant inflatable Scotty dog!  Make this your first stop to check in, download the app and register to win the daily Tartan Swag Bag giveaway.  Weekend hours: Thursday through Saturday: 8 a.m. to 7 p.m.",Events_data/Documents/Apr-11_Eventno_3_CarnivalHeadquartersTentCheckInRegistration.txt
Eid Celebration,4/11/24,3:00 PM-5:00 PM ET,"Midway Activities Tent, The Cut",Open to entire CMU community,"The Activities Tent is #3 on the map.  The Muslim Student Association (MSA) invites you to join them to celebrate Eid, which occurs the day before Carnival this year.  Note: No registration required. No event fee. This event is open to the CMU community.",Events_data/Documents/Apr-11_Eventno_10_EidCelebration.txt
Kiltie Band Concert,4/11/24,3:30 PM-4:30 PM ET,"Kirr Commons, Cohon University Center",Open to entire CMU community,What better way to open Carnival than with the infamous “Band without Pants”?  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-11_Eventno_19_KiltieBandConcert.txt
Buggy Showcase,4/11/24,12:00 PM-2:00 PM ET,"Wiegand Gym, 1st Floor, CUC",Open to entire CMU community,"Kick off your Carnival Weekend with Buggy! View the latest buggy designs, talk with the teams and vote for the Buggy People’s Choice Award.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-11_Eventno_5_BuggyShowcase.txt
Impact CMU 2024,4/11/24,12:00 PM-5:00 PM ET,"Studio Theater, 1st Floor, CUC",,"Impact CMU 2024 is an annual showcase of CMU student-led social impact projects. Designed by Design for America, Impact CMU aims to celebrate our successes and create a culture of social good on campus. Impact CMU invites undergrad and graduate students at Carnegie Mellon to showcase how they have worked with a community. The projects range from student organizations and research to personal and hackathon projects.  Note: No registration required. Walk-ins welcome. No event fee. This event is open to the entire CMU community and Carnival guests",Events_data/Documents/Apr-11_Eventno_7_ImpactCMU2024.txt
Kiltie Band Alumni & Student Reception,4/11/24,4:30 PM-6:30 PM ET,"General Motors Room, 2nd Floor, CUC",Open to alumni and families of the Kiltie community,"After the Kiltie Band Spring Carnival kick-off concert, current and former Kilties are invited for food and fun!  Note: Registration required. Walk-ins are welcome if space permits. No event fee. Open to the Kiltie community and guests.",Events_data/Documents/Apr-11_Eventno_21_KiltieBandAlumniStudentReception.txt
Crafting with HR Family Care Initiatives,4/11/24,3:00 PM-6:00 PM ET,Midway Activities Tent,Open to children and families,"Crafting with the HR Family Care Initiatives is in the Activities Tent, which is #3 on the map.  Attention faculty and staff: Family Care and the Office of Human Resources present crafting with your kids. This activity is appropriate for children of all ages as well as those young at heart. While your child creates, we would love to talk about how Carnegie Mellon University can support your family with a variety of benefits and programs. We will also be in the Activities Tent on Friday from 1-4 p.m.  Note: No registration required. No event fee. This event is open to CMU faculty and staff and their guests.",Events_data/Documents/Apr-11_Eventno_8_CraftingwithHRFamilyCareInitiatives.txt
Kidzone Tent,4/11/24,3:00 PM-7:00 PM ET,"Tent, The Cut",Open to entire CMU community,The Kidzone Tent is #8 on the map.  Attention families: Check out games and activities specifically geared toward the younger Tartans ages 8 and under. Sponsored by the Alumni Association.  Note: No registration required. No event fee.  Activities include:  Snacks Mini prize wheel Montessori-inspired games Balloon artist Face painter  Weekend hours:  Thursday: 3-7 p.m. Friday & Saturday: 11 a.m.-7 p.m.,Events_data/Documents/Apr-11_Eventno_18_KidzoneTent.txt
"Lunar Bots, Roll Out!",4/11/24,3:00 PM-7:00 PM ET,"Midway Activities Tent, The Cut",Open to entire CMU community,"Lunar Bots will be in the Activities Tent, which is #3 on the map.  Come check out CMU's lunar rovers, meet the students who just operated the first American robotic lunar rover in space at irisrover.space, drive one of our test robots, and get some cool space mission merch! Follow us on Instagram @iris_rover and @cmumoonranger. Additional weekend hours are 11 a.m.-7 p.m. on Friday and Saturday.  Note: No registration required. No event fee. This event is open to the CMU community.",Events_data/Documents/Apr-11_Eventno_17_LunarBotsRollOut.txt
Mixed Reality: A Virtual Reality Escape Room Experience,4/11/24,3:00 PM-11:00 PM ET,Location TBA,Open to entire CMU community,"Get ready to experience an evolution of gaming as participants step through a Meta Quest 3-powered walkthrough/escape room with interactive installations. This project is part of the LBE Project Showcase, which is hosted by master's students from the Entertainment Technology Center (ETC).  Note: No advance registration required. No event fee. This event is open to the entire CMU community and their guests. This experience is recommended for children ages 12 and older.",Events_data/Documents/Apr-11_Eventno_11_MixedRealityAVirtualRealityEscapeRoomExperience.txt
