EventName,Date,Time,Location,Participants,Details,DocID
History of Buggy,4/12/24,4:00 PM-5:00 PM ET,"Studio Theater, 1st Floor, CUC",Open to entire CMU community,Learn about the origin and development of the Sweepstakes races and what students are doing to push the boundaries of the sport in new directions.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-12_Eventno_40_HistoryofBuggy.txt
Information Systems Carnival 2024 Happy Hour (Invitation Only),4/12/24,4:00 PM-6:00 PM ET,,,"Information Systems is excited to host a happy hour for IS Alumni, Class of 2024 graduating seniors of the IS program, and IS staff and faculty to celebrate 40 years of graduates of the program. Light appetizers will be provided and drinks will be available for purchase. Please reach out to Jessica Lutz at isalumni@andrew.cmu.edu with any questions.  Note: Separate registration required.",Events_data/Documents/Apr-12_Eventno_44_InformationSystemsCarnival2024HappyHourInvitationOnly.txt
Carnival Headquarters Tent: Check-In & Registration,4/12/24,8:00 AM-7:00 PM ET,"Tent, The Cut",Open to entire CMU community,"The Carnival Headquarters Tent is #1 on the map- look for the giant inflatable Scotty dog!  Open to the entire Tartan community! Make this your first stop to check in, download the app and register to win the daily Tartan Swag Bag giveaway.  Weekend hours: Thursday through Saturday: 8 a.m. to 7 p.m.",Events_data/Documents/Apr-12_Eventno_3_CarnivalHeadquartersTentCheckInRegistration.txt
Crafting with the Spring Carnival Committee,4/12/24,2:00 PM-4:00 PM ET,,Open to entire CMU community,"The Spring Carnival Committee (SCC) invites the CMU community to join them in some fun crafting projects in the Activities Tent, which is #3 on the map.  Note: Registration not required. No event fee.",Events_data/Documents/Apr-12_Eventno_30_CraftingwiththeSpringCarnivalCommittee.txt
Cold Ones with the Coaches,4/12/24,3:30 PM-5:00 PM ET,Tartans Pavilion,Open to alumni and parents,Enjoy some refreshments with our incredible athletic coaches.  Note: Registration required. Walk-ins are welcome as space permits. No event fee. This event is open to alumni and parents. ,Events_data/Documents/Apr-12_Eventno_36_ColdOneswiththeCoaches.txt
NROTC Flag Lowering,4/12/24,6:00 PM-6:15 PM ET,"University Flagpole, The Cut",Open to entire CMU community,Join the NROTC in this reflective time.  Note: No registration required. Walk-ins welcome. No event fee. This event is open to the entire CMU community and their guests.,Events_data/Documents/Apr-12_Eventno_47_NROTCFlagLowering.txt
25th Reunion Welcome Breakfast (1999),4/12/24,9:00 AM-10:30 AM ET,"Reunion Tent, The Cut",Reunion Exclusive,The Reunion Tent is #4 on the map.  Join fellow 25th Reunion alumni from the Class of 1999 to reconnect over breakfast and coffee!  Note: Registration required. No event fee. This event is open to the Class of 1999 Reunion celebrants.,Events_data/Documents/Apr-12_Eventno_10_25thReunionWelcomeBreakfast1999.txt
Kidzone Tent,4/12/24,11:00 AM-7:00 PM ET,"Midway, The Cut",Open to entire CMU community,The Kidzone Tent is #8 on the map.  Attention families: Check out games and activities specifically geared toward the younger Tartans ages 8 and under. Sponsored by the Alumni Association.  Note: No registration required. No event fee.  Activities include:  Snacks Mini prize wheel Montessori-inspired games Balloon artist Face painter Weekend hours:  Thursday: 3-7 p.m. Friday & Saturday: 11 a.m.-7 p.m.,Events_data/Documents/Apr-12_Eventno_19_KidzoneTent.txt
Reunion Pints with Profs,4/12/24,5:00 PM-7:00 PM ET,"Reunion Tent, The Cut",Reunion Exclusive,"The Reunion Tent is #4 on the map.  Don’t miss one of our most popular reunion events! Mix and mingle with classmates and have a drink with your favorite professor or staff member. If there is a faculty or staff member you would like to invite, please submit their name during registration. Appetizers and drinks provided.  Note: Registration required. No event fee. This event is open to all alumni Reunion celebrants and their guests.",Events_data/Documents/Apr-12_Eventno_45_ReunionPintswithProfs.txt
"Inventing Shakespeare: Text, Technology and The Four Folios",4/12/24,8:00 AM-6:00 PM ET,"4th Floor, Hunt Library",Open to entire CMU community,"Inventing Shakespeare tells the little known story of technological innovation, instrumentation and mechanical prototyping inspired by research into Shakespeare’s most famous book. Objects in the exhibit range from a fully immersive VR tour of a reconstructed Shakespearean playhouse, a 1960s-era mechanical collator designed to compare multiple copies of the First Folio, and fragments of the folios themselves.  Note: No registration required. No event fee. This event is open to the entire CMU community and their guests.",Events_data/Documents/Apr-12_Eventno_5_InventingShakespeareTextTechnologyandTheFourFolios.txt
